Id,Name,Image,Year,painter_id
94,Portrait of Emperor Maximilian I ,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168564/paintings_image/Albrecht%20D%C3%BCrer_paintings/1519_Portrait_of_Emperor_Maximilian_I__durer_albrecht_9_a4wpxf.jpg,1519,20
95,Avenue of Chestnut Trees Near La Celle Saint-Cloud,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168600/paintings_image/Alfred%20Sisley_paintings/1867_Avenue_of_Chestnut_Trees_Near_La_Celle-Saint-Cloud_sisley_alfred_1_q05s24.jpg,1867,21
96,Footbridge at Argenteuil,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168600/paintings_image/Alfred%20Sisley_paintings/1872_Footbridge_at_Argenteuil_sisley_alfred_2_izeq5r.jpg,1872,21
97,The River Loing at Saint-Mammès,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168600/paintings_image/Alfred%20Sisley_paintings/1885_The_River_Loing_at_Saint-Mamm%C3%A8s_sisley_alfred_4_kjhe9q.jpg,1885,21
98,"Haystacks at Moret, Morning",https://res.cloudinary.com/interactive-gallery/image/upload/v1601168601/paintings_image/Alfred%20Sisley_paintings/1891_Haystacks_at_Moret__Morning_sisley_alfred_5_ipiqiv.jpg,1891,21
99,Landscape with the Fall of Icarus,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168616/paintings_image/Pieter%20Bruegel_paintings/1558_landscape_with_the_fall_of_icarus_mq4flb.jpg,,22
100,The Tower of Babel,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168616/paintings_image/Pieter%20Bruegel_paintings/1563_the_tower_of_babel_k6sxxu.jpg,1558,22
101,The Hunters in the Snow,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168617/paintings_image/Pieter%20Bruegel_paintings/1565_the_hunters_in_the_snow_vnz5x2.jpg,1565,22
102,The Conversion of Paul,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168616/paintings_image/Pieter%20Bruegel_paintings/1567_the_conversion_of_paul_shvpsn.jpg,1567,22
104,The Magpie on the Gallows,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168616/paintings_image/Pieter%20Bruegel_paintings/1568_the_magpie_on_the_gallows_uhe2ul.jpg,1568,22
105,I and the Village,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168591/paintings_image/Marc%20Chagall_paintings/1911_I_and_the_Village_chagall_marc_1_zfqz0z.jpg,1911,23
107,Paris through the Window,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168589/paintings_image/Marc%20Chagall_paintings/1913_Paris_Through_the_Window_chagall_marc_2_ebsoxi.jpg,1913,23
108,Bella with White Collar,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168591/paintings_image/Marc%20Chagall_paintings/1917_Bella_with_White_Collar_chagall_marc_3_peusv2.jpg,1917,23
110,Peace Window,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168590/paintings_image/Marc%20Chagall_paintings/1967_Peace_Window_chagall_marc_6_zz8un5.jpg,1967,23
111,Crucifix,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168593/paintings_image/Giotto%20di%20Bondone_paintings/1288-89-Crucifix_giotto_2_j5hbh3.jpg,1288-89,24
112,Isaac Blessing Jacob,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168593/paintings_image/Giotto%20di%20Bondone_paintings/c.1290-1295_Isaac_Blessing_Jacob_giotto_1_s378zb.jpg,c.1290-1295,24
113,Celebration of Christmas at Greccio,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168594/paintings_image/Giotto%20di%20Bondone_paintings/c.1300_Celebration_of_Christmas_at_Greccio_giotto_3_e0j7yy.jpg,c.1300,24
114,The Last Judgement,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168594/paintings_image/Giotto%20di%20Bondone_paintings/c.1302-1305_The_Last_Judgement_giotto_4_jquo6j.jpg,c.1302-1305,24
115,Lamentation,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168593/paintings_image/Giotto%20di%20Bondone_paintings/1305_Lamentation_giotto_5_lrwhpu.jpg,1305,24
116,Ognissanti Madonna,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168594/paintings_image/Giotto%20di%20Bondone_paintings/c.1309_Ognissanti_Madonna_giotto_6_jbaljr.jpg,c.1309,24
117,The Adoration of the Magi,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168557/paintings_image/Sandro%20Botticelli_paintings/c.1475-botticelli_sandro_adoration_of_the_magi_vkeit9.jpg,c.1475,25
118,Map of Hell,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168557/paintings_image/Sandro%20Botticelli_paintings/c.1485-botticelli_sandro_map_of_hell_rddfgx.jpg,c.1485,25
119,Calumny of Apelles,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168557/paintings_image/Sandro%20Botticelli_paintings/1494-1495_botticelli_sandro_calumny_of_apelles_txt6nl.jpg,1494-1495,25
120,Self-Portrait as Bacchus: Sick Bacch,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168598/paintings_image/Caravaggio_paintings/c.-1593-94_Self-Portrait_as_Bacchus_Sick_Bacch_caravaggio_1_cxmpio.jpg,c.1593-94,26
121,Boy Bitten by a Lizard,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168598/paintings_image/Caravaggio_paintings/1593-94_Boy_Bitten_by_a_Lizard_caravaggio_2_nouio7.jpg,1593-94,26
122,The_Musicians (Concert of Youths),https://res.cloudinary.com/interactive-gallery/image/upload/v1601168598/paintings_image/Caravaggio_paintings/c._1595_The_Musicians_Concert_of_Youths_caravaggio_3_x4m56i.jpg,c.1595,26
123,The Entombment: Deposition,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168598/paintings_image/Caravaggio_paintings/1603-04_The_Entombment_Deposition_caravaggio_6_maxvvz.jpg,1603-04,26
124,The Beheading of St. John the Baptist (in situ),https://res.cloudinary.com/interactive-gallery/image/upload/v1601168598/paintings_image/Caravaggio_paintings/1608_The_Beheading_of_St._John_the_Baptist__in_situ__caravaggio_7_ucuhir.jpg,1608,26
125,Virgin of the Rocks,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168555/paintings_image/Leonardo%20da%20Vinci_paintings/1483-86_Virgin_of_the_Rocks_da_vinci_leonardo_1_sa1dal.jpg,1483-86,27
126,The Vitruvian Man,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168555/paintings_image/Leonardo%20da%20Vinci_paintings/c.1485_The_Vitruvian_Man_da_vinci_leonardo_3_qbvciv.jpg,c.1485,27
127,Lady with an Ermine,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168554/paintings_image/Leonardo%20da%20Vinci_paintings/1489-90_Lady_with_an_Ermine_da_vinci_leonardo_2_s5rhrm.jpg,1489-90,27
128,The Last Supper,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168555/paintings_image/Leonardo%20da%20Vinci_paintings/1498_The_Last_Supper_da_vinci_leonardo_4_sehi16.jpg,1498,27
129,The Virgin and Child with St.Anne and St.John the Baptist,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168554/paintings_image/Leonardo%20da%20Vinci_paintings/c.1499-1500_The_Virgin_and_Child_with_St.Anne_and_St.John_the_Baptist_da_vinci_leonardo_5_vhh1zv.jpg,c.1499-1500,27
130,Salvatore Mundi,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168555/paintings_image/Leonardo%20da%20Vinci_paintings/c.1500_Salvatore_Mundi_da_vinci_leonardo_6_bepqsr.jpg,c.1500,27
131,Mona Lisa,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168554/paintings_image/Leonardo%20da%20Vinci_paintings/c.1503_Mona_Lisa_da_vinci_leonardo_7_dqyvhn.jpg,c.1503,27
